window_idx,src_ip,dst_ip,sport,dport,proto,ecn_ect0,ecn_ect1,ecn_ce,ecn_non,ratio_ect1,ratio_ce,flow_throughput_bps,flow_packet_count,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,iat_min,iat_max,iat_mean,iat_std,flag_cwr,flag_ece,flag_psh,flag_rst,flag_syn,ratio_cwr,tcp_win_mean,label_is_attack
218,192.168.55.10,192.168.57.20,41886,5001,6,0,0,0,3420,0.0,0.0,41423040.0,3420,1514,1514,1514.0,0.0,9.5367431640625e-07,0.0108838081359863,0.0002924393198928,0.0007898908056702,0,0,1010,0,0,0.0,502.0,0
218,192.168.56.10,192.168.57.10,38164,5001,6,0,1446,109,0,0.929903536977492,0.070096463022508,18834160.0,1555,1514,1514,1514.0,0.0,9.5367431640625e-07,0.0042531490325927,0.0006418217409838,0.0008106459721498,0,1555,35,0,0,0.0,502.0,0
218,192.168.57.10,192.168.56.10,5001,38164,6,0,1187,0,0,1.0,0.0,740688.0,1187,78,78,78.0,0.0,0.0,0.0044939517974853,0.0008405734475507,0.0010050820060127,539,613,0,0,0,0.4540859309182813,1343.586352148273,0
218,192.168.54.10,192.168.57.20,59034,5001,6,0,0,0,2270,0.0,0.0,27494240.0,2270,1514,1514,1514.0,0.0,9.5367431640625e-07,0.0112879276275634,0.0004355390463804,0.0012713867213957,0,0,1010,0,0,0.0,502.0,0
218,192.168.57.20,192.168.54.10,5001,59034,6,0,0,0,1184,0.0,0.0,629088.0,1184,66,78,66.41554054054055,2.1940402333717044,0.0,0.0114271640777587,0.0008352367130256,0.001729458861091,0,0,0,0,0,0.0,5373.233952702703,0
219,192.168.56.10,192.168.57.10,38164,5001,6,0,1268,55,0,0.9584278155706728,0.0415721844293272,16024176.0,1323,1514,1514,1514.0,0.0,9.5367431640625e-07,0.0145339965820312,0.0007540272512161,0.0010050024412516,0,1323,29,0,0,0.0,502.0,0
219,192.168.57.20,192.168.55.10,5001,41886,6,0,0,0,1653,0.0,0.0,877872.0,1653,66,78,66.38475499092559,2.11400650142447,0.0,0.0215899944305419,0.000604773549133,0.0012092448489989,0,0,0,0,0,0.0,11318.225045372052,0
219,192.168.57.10,192.168.56.10,5001,38164,6,0,1004,0,0,1.0,0.0,626496.0,1004,78,78,78.0,0.0,0.0,0.0160481929779052,0.0009938503428922,0.0012543327437847,388,502,0,0,0,0.3864541832669322,1343.4462151394423,0
219,192.168.55.10,192.168.57.20,41886,5001,6,0,0,0,2998,0.0,0.0,36311776.0,2998,1514,1514,1514.0,0.0,9.5367431640625e-07,0.0186569690704345,0.0003332449747874,0.0008467455382767,0,0,983,0,0,0.0,502.0,0
219,192.168.54.10,192.168.57.20,59034,5001,6,0,0,0,2522,0.0,0.0,30546464.0,2522,1514,1514,1514.0,0.0,9.5367431640625e-07,0.0149850845336914,0.000396216970169,0.0008677887786988,0,0,995,0,0,0.0,502.0,0
219,192.168.57.20,192.168.54.10,5001,59034,6,0,0,0,1399,0.0,0.0,742416.0,1399,66,78,66.33452466047177,1.9754465766498055,0.0,0.0156168937683105,0.0007142797219054,0.0011483150511802,0,0,0,0,0,0.0,5373.133666904932,0
220,192.168.54.10,192.168.57.20,59034,5001,6,0,0,0,2762,0.0,0.0,33453344.0,2762,1514,1514,1514.0,0.0,9.5367431640625e-07,0.0107440948486328,0.0003583726568612,0.0006711969892768,0,0,970,0,0,0.0,502.0,0
220,192.168.56.10,192.168.57.10,38164,5001,6,0,1328,60,0,0.956772334293948,0.0432276657060518,16811456.0,1388,1514,1514,1514.0,0.0,9.5367431640625e-07,0.0107390880584716,0.0007190296954187,0.0009783454256249,0,1388,31,0,0,0.0,502.0,0
220,192.168.57.20,192.168.54.10,5001,59034,6,0,0,0,1519,0.0,0.0,808848.0,1519,66,78,66.56089532587228,2.533010134974204,0.0,0.0138220787048339,0.0006529697473498,0.0009363557704461,0,0,0,0,0,0.0,5372.954575378539,0
220,192.168.57.10,192.168.56.10,5001,38164,6,0,1048,0,0,1.0,0.0,653952.0,1048,78,78,78.0,0.0,0.0,0.0145380496978759,0.0009473142104709,0.0012223526449532,596,638,0,0,0,0.5687022900763359,1343.2929389312976,0
220,192.168.55.10,192.168.57.20,41886,5001,6,0,0,0,2054,0.0,0.0,24878048.0,2054,1514,1514,1514.0,0.0,9.5367431640625e-07,0.020216941833496,0.0004841943398023,0.0013688450195005,0,0,918,0,0,0.0,502.0,0
220,192.168.57.20,192.168.55.10,5001,41886,6,0,0,0,1059,0.0,0.0,564720.0,1059,66,78,66.65722379603399,2.7303374213335974,0.0,0.0204360485076904,0.0009396256481091,0.0019207222287246,0,0,0,0,0,0.0,11317.677053824362,0
221,192.168.57.10,192.168.56.10,5001,38164,6,0,1004,0,0,1.0,0.0,626496.0,1004,78,78,78.0,0.0,0.0,0.0103600025177001,0.0009954905105849,0.0013265290720874,490,554,0,0,0,0.4880478087649402,1343.1962151394423,0
221,192.168.56.10,192.168.57.10,38164,5001,6,0,1222,92,0,0.9299847792998478,0.0700152207001522,15915168.0,1314,1514,1514,1514.0,0.0,9.5367431640625e-07,0.0089609622955322,0.0007601310892678,0.0010412441051573,0,1314,29,0,0,0.0,502.0,0
221,192.168.55.10,192.168.57.20,41886,5001,6,0,0,0,2443,0.0,0.0,29589616.0,2443,1514,1514,1514.0,0.0,9.5367431640625e-07,0.0097160339355468,0.000408953667468,0.0008279762451444,0,0,964,0,0,0.0,502.0,0
221,192.168.54.10,192.168.57.20,59034,5001,6,0,0,0,2560,0.0,0.0,31006720.0,2560,1514,1514,1514.0,0.0,9.5367431640625e-07,0.0118920803070068,0.0003903125496104,0.0007829071065928,0,0,965,0,0,0.0,502.0,0
221,192.168.57.20,192.168.55.10,5001,41886,6,0,0,0,1191,0.0,0.0,631056.0,1191,66,78,66.23173803526448,1.6514096724270333,0.0,0.0117800235748291,0.0008356983922108,0.0012576820135519,0,0,0,0,0,0.0,11318.251049538205,0
